пара,день_X,метка,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
COD-RWA,2025-01-23,1,Наступление на Гому,z_vol,2.0,,False,25
COD-RWA,2025-01-23,1,Наступление на Гому,vol_ratio,1.5,,False,25
COD-RWA,2025-01-23,1,Наступление на Гому,vol_ratio,2.5,,False,25
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),z_tone,1.0,15.0,False,26
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),z_tone,2.0,2.0,False,26
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),z_vol,1.0,,False,26
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),z_vol,2.0,,False,26
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),vol_ratio,1.5,,False,26
ETH-SDN,2019-12-16,0,контроль к «Аль-Фашага» (−1 г.),vol_ratio,2.5,,False,26
ETH-SDN,2020-12-15,1,Аль-Фашага,z_tone,1.0,26.0,True,26
ETH-SDN,2020-12-15,1,Аль-Фашага,z_tone,2.0,26.0,True,26
ETH-SDN,2020-12-15,1,Аль-Фашага,z_vol,1.0,26.0,True,26
ETH-SDN,2020-12-15,1,Аль-Фашага,z_vol,2.0,25.0,False,26
ETH-SDN,2020-12-15,1,Аль-Фашага,vol_ratio,1.5,26.0,True,26
ETH-SDN,2020-12-15,1,Аль-Фашага,vol_ratio,2.5,25.0,False,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_tone,1.0,26.0,True,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_tone,2.0,26.0,True,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_vol,1.0,19.0,False,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_vol,2.0,9.0,False,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),vol_ratio,1.5,19.0,False,26
FRA-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),vol_ratio,2.5,9.0,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_tone,1.0,,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_tone,2.0,,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_vol,1.0,15.0,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_vol,2.0,15.0,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,vol_ratio,1.5,15.0,False,26
FRA-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,vol_ratio,2.5,12.0,False,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_tone,1.0,26.0,True,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_tone,2.0,26.0,True,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_vol,1.0,15.0,False,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),z_vol,2.0,14.0,False,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),vol_ratio,1.5,10.0,False,26
GBR-SYR,2017-04-14,0,контроль к «Удары по объектам ОМУ в Сирии» (−1 г.),vol_ratio,2.5,9.0,False,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_tone,1.0,2.0,False,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_tone,2.0,,False,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_vol,1.0,26.0,True,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,z_vol,2.0,22.0,False,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,vol_ratio,1.5,25.0,False,26
GBR-SYR,2018-04-14,1,Удары по объектам ОМУ в Сирии,vol_ratio,2.5,4.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),z_tone,1.0,20.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),z_tone,2.0,19.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),z_vol,1.0,20.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),z_vol,2.0,17.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),vol_ratio,1.5,17.0,False,26
IND-PAK,2018-02-26,0,контроль к «Балакот и ответ Пакистана» (−1 г.),vol_ratio,2.5,,False,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,z_tone,1.0,11.0,False,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,z_tone,2.0,11.0,False,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,z_vol,1.0,26.0,True,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,z_vol,2.0,25.0,False,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,vol_ratio,1.5,26.0,True,26
IND-PAK,2019-02-26,1,Балакот и ответ Пакистана,vol_ratio,2.5,10.0,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",z_tone,1.0,18.0,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",z_tone,2.0,5.0,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",z_vol,1.0,19.0,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",z_vol,2.0,5.0,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",vol_ratio,1.5,,False,26
IND-PAK,2024-05-07,0,"контроль к «Индия — Пакистан, операция «Синдур»» (−1 г.)",vol_ratio,2.5,,False,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",z_tone,1.0,24.0,False,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",z_tone,2.0,9.0,False,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",z_vol,1.0,26.0,True,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",z_vol,2.0,26.0,True,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",vol_ratio,1.5,26.0,True,26
IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",vol_ratio,2.5,26.0,True,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),z_tone,1.0,8.0,False,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),z_tone,2.0,,False,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),z_vol,1.0,23.0,False,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),z_vol,2.0,21.0,False,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),vol_ratio,1.5,23.0,False,26
IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),vol_ratio,2.5,,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),z_tone,1.0,,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),z_tone,2.0,,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),z_vol,1.0,19.0,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),z_vol,2.0,,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),vol_ratio,1.5,,False,26
IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),vol_ratio,2.5,,False,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),z_tone,1.0,16.0,False,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),z_tone,2.0,15.0,False,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),z_vol,1.0,26.0,True,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),z_vol,2.0,18.0,False,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),vol_ratio,1.5,17.0,False,26
IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),vol_ratio,2.5,,False,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,z_tone,1.0,26.0,True,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,z_tone,2.0,,False,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,z_vol,1.0,5.0,False,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,z_vol,2.0,3.0,False,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,vol_ratio,1.5,3.0,False,26
IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,vol_ratio,2.5,,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,z_tone,1.0,10.0,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,z_tone,2.0,9.0,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,z_vol,1.0,12.0,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,z_vol,2.0,9.0,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,vol_ratio,1.5,11.0,False,26
IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,vol_ratio,2.5,7.0,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),z_tone,1.0,3.0,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),z_tone,2.0,,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),z_vol,1.0,21.0,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),z_vol,2.0,8.0,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),vol_ratio,1.5,9.0,False,26
IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),vol_ratio,2.5,,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,z_tone,1.0,,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,z_tone,2.0,,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,z_vol,1.0,3.0,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,z_vol,2.0,1.0,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,vol_ratio,1.5,1.0,False,26
IRN-ISR,2025-06-13,1,Двенадцатидневная война,vol_ratio,2.5,,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,z_tone,1.0,,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,z_tone,2.0,,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,z_vol,1.0,19.0,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,z_vol,2.0,17.0,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,vol_ratio,1.5,17.0,False,26
IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,vol_ratio,2.5,,False,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",z_tone,1.0,16.0,False,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",z_tone,2.0,,False,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",z_vol,1.0,26.0,True,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",z_vol,2.0,26.0,True,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",vol_ratio,1.5,26.0,True,26
IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",vol_ratio,2.5,,False,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",z_tone,1.0,26.0,True,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",z_tone,2.0,,False,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",z_vol,1.0,26.0,True,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",z_vol,2.0,26.0,True,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",vol_ratio,1.5,26.0,True,26
IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",vol_ratio,2.5,26.0,True,26
IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),z_tone,1.0,26.0,True,26
IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),z_tone,2.0,26.0,True,26
IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),z_vol,1.0,22.0,False,26
IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),z_vol,2.0,,False,26
IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),vol_ratio,1.5,,False,26
